city,co2,class,population,GDP,density,climate
Bujumbura,0.02,1,235440,300,2738,1
Kinshasa,0.04,1,7785965,300,955,1
Bamako,0.05,1,1297281,1100,13374,1
Bangui,0.06,1,451690,700,6742,1
Ouagadougou,0.06,1,1475839,1200,6739,2
Niamey,0.08,1,707951,700,2962,2
Addis Ababa,0.09,1,2646000,800,4992,3
Kathmandu,0.13,1,671846,1100,13711,3
Conakry,0.15,1,1091500,1100,2426,1
Dar es Salaam,0.16,1,1360850,1300,856,1
Antananarivo,0.17,1,1015140,1000,14099,3
Yangon,0.2,1,4477638,1200,7488,1
Banjul,0.23,1,42326,1300,3527,1
Freetown,0.26,1,802639,900,5859,1
Phnom Penh,0.35,1,703963,1900,33522,1
Dakar,0.39,1,1075582,1700,2151,1
Nairobi,0.4,1,2948109,1700,4236,3
Accra,0.47,1,1658937,1400,8967,1
Colombo,0.66,1,615000,4200,880,1
Asuncion,0.7,1,513399,4200,4388,3
Sana'a,1.11,1,954448,2500,3864,2
Guatemala City,1.15,1,1022001,5300,4482,1
Bishkek,1.28,1,798300,2100,6271,4
San Salvador,1.32,1,507665,7300,573,1
Lagos,1.39,1,5195247,3697,5200,1
Dhaka,1.45,1,10356500,6095,34067,1
Durban,1.47,1,669242,1483,1513,3
Tbilisi,1.47,1,1108600,4600,2038,3
Florianopolis,1.77,1,406564,8253,924,3
Mumbai,2.03,1,11978450,3598,19865,1
Chisinau,2.11,1,660726,2400,5372,3
Panama City,2.22,1,484261,11100,4526,1
Bogota,2.29,1,7102602,11960,4467,3
Riga,2.33,1,719928,10499,2376,4
Montevideo,2.38,1,1345010,11600,2538,3
Cali,2.44,1,2392877,12741,4372,1
Santo Domingo,2.49,1,913540,8000,10030,1
Quito,2.5,1,1559295,7300,9172,3
Karachi,2.54,1,9339023,6430,2648,2
Tunis,2.61,1,702330,7700,19847,3
Lima,2.62,1,8445211,12864,10557,2
Male,2.81,1,103693,4500,17884,1
Islamabad,2.84,1,529180,7181,4410,3
Cebu,2.95,1,718821,11371,2558,1
St. John's,2.98,1,99182,6374,222,4
Surabaya,3.06,1,2611506,6811,7440,1
Rabat,3.18,1,642000,8175,5321,3
Naihati,3.41,1,215303,6046,18641,1
Manila,3.48,1,1581082,13423,2575,1
Porto Alegre,3.57,1,19089,16667,45,3
Quezon City,3.65,1,2173831,14080,12661,1
Ulaanbaatar,3.92,1,1012733,3000,5038,4
Kolkata,3.96,1,4572876,7033,24718,1
Casablanca,4.04,1,2995000,10374,9244,3
Damascus,4.05,1,1658000,4700,2894,3
Amman,4.13,1,1204110,5100,717,2
Beirut,4.31,1,361366,10700,18437,3
Sao Paulo,4.42,1,11016703,20589,7234,3
Jakarta,4.52,1,8820603,10082,13284,1
Vilnius,4.73,1,543494,17400,1379,4
Curitiba,4.99,1,1788559,23268,4189,3
Chennai,5.02,2,4343645,8902,24963,2
Ankara,5.04,2,3517182,15608,1398,3
Bucharest,5.19,2,1931838,11500,8121,3
Belo Horizonte,5.21,2,2399920,24317,7164,3
Hyderabad,5.38,2,3637483,9538,21065,1
Kingston,5.59,2,579137,8800,26324,1
Cairo,5.72,2,6758581,12192,31582,2
Stockholm,5.82,2,789024,34668,4219,4
Istanbul,5.84,2,11174257,18090,6103,3
Delhi,5.91,2,9879172,10486,22922,3
Bangalore,5.93,2,5104047,10514,7199,1
Guadalajara,6.06,2,1640589,18837,10865,3
Santiago,6.08,2,4960815,20979,6823,3
London,6.1,2,7421209,41271,10505,3
"Victoria, BC",6.34,2,289625,13539,15243,3
Bern,6.39,2,122256,41900,2368,3
Caracas,6.44,2,1975294,10915,4562,1
Budapest,6.45,2,1699212.5,19876,3237,3
Brasilia,6.55,2,2383784,30564,411,1
Mexico City,6.59,2,11285654,20496,7600,3
Geneva,6.71,2,178574,44017,10829,3
Sarajevo,6.91,2,527049,6300,3738,3
Copenhagen,7.1,3,505141,71164,5740,3
Dubai,7.27,2,1089000,11400,846,2
Ho Chi Minh City,7.28,2,3015743,13200,21541,1
Lisbon,7.43,2,504725.5,27292,5954,3
Sofia,7.76,2,1155403,12300,859,3
Belgrade,7.9,2,1313994,10300,3379,3
Minsk,8.1,2,1789098,10800,5847,4
Kiev,8.15,2,2676789,7200,3210,4
Berlin,8.63,2,3386667,28529,3801,3
Athens,8.67,2,789166,26042,20235,3
Ljubljana,8.83,2,250953,28900,1530,3
Kuala Lumpur,8.85,2,1551306,15000,6384,1
Ottawa,9.09,2,812129,19402,292,4
Abuja,9.15,2,107069,24411,1091,1
Dublin,9.53,2,495781,36721,4202,3
Tripoli,9.87,2,1500000,13900,4205,2
Warsaw,10.25,2,1704717,17977,3297,3
Barcelona,10.28,2,1605602,35976,516,3
Vladivostok,10.48,2,579811,12207,966,4
Buenos Aires,10.81,2,2965403,28292,51,3
Bangkok,10.86,2,5658953,17751,8084,1
Tehran,11.06,2,7088287,16131,9327,3
Nagoya,11.36,2,2215062,34811,6785,3
Paris,11.45,2,2125017,57027,20238,3
Madrid,11.81,2,3128600,41315,19509,3
Shenzhen,11.96,2,7008831,11047,17744,3
Osaka,12.05,2,2628811,36922,11836,3
Yokohama,12.1,2,3579628,37054,8184,3
Rome,12.19,2,2626640,43127,2009,3
Seoul,12.25,2,10020123,29706,16553,4
Milan,13.06,2,1306086,46180,7174,3
Prague,13.17,2,1188126,25500,9741,3
Vienna,13.52,2,1664146,53776,4013,3
Tokyo,13.53,2,8489653,41456,13663,3
Brussels,14.1,2,144784,45355,899,3
Singapore,14.37,2,4588600,51656,6582,1
Beijing,14.43,2,11509595,13325,8413,4
Guangzhou,15.21,3,8524826,14044,2218,3
Tel Aviv,16.26,3,387233.5,39003,7476,3
Hamburg,16.37,3,1704735,54103,2258,3
Shanghai,16.84,3,14348535,15547,7442,3
St. Petersburg,17.16,3,4569616,19987,7541,4
Bandar seri begawan,17.39,3,27285,53900,272,1
Amsterdam,17.45,3,742884,60514,4467,3
Helsinki,17.5,3,566526,44249,3040,4
Jerusalem,17.69,3,740475,42432,5914,3
Riyadh,18.08,3,4087152,23964,5109,2
"Phoenix, AZ",18.66,3,1552259,41260,1168,2
Montreal,19.06,3,3268513,40709,8955,4
"Detroit, MI",20.05,3,916952,44344,2552,4
"Honolulu, HI",20.55,3,375571,45444,1692,1
"Vancouver, BC",21.02,3,1837969,44884,16123,3
Toronto,21.32,3,4612191,45537,3677,4
"Chicago, IL",22.09,3,2836658,48840,4819,4
"Los Angeles, CA",22.11,3,3834340,48896,1616,3
Tashkent,23.9,3,2137218,11600,7124,3
Luxembourg-Ville,23.9,3,84644,70597,1660,3
"Denver, CO",25.19,3,588349,55700,1558,2
"New York, NY",25.39,3,8274527,56149,10350,3
"Seattle, WA",25.68,3,594210,56788,2733,3
Melbourne,25.8,3,3806092,46137,495,3
Moscow,26.38,3,10456490,30712,9673,4
"Boston, MA",26.54,3,599351,58686,4783,4
Manama,27.1,3,176909,36100,5897,2
Sydney,27.52,3,4336374,49226,357,3
Port-of-Spain,27.7,3,43396,23100,3616,1
Abu Dhabi,27.85,3,527000,43700,293,2
"Anchorage,AK",28.74,3,279671,63549,64,4
Johannesburg,31.65,3,752349,32023,2364,3
Cape Town,31.66,3,3497097,32037,12059,3
Kuwait City,41.06,3,32403,55600,11900,2
Doha,56.3,3,344939,100300,2174,2
